DE_NO,DATA_ELEMENT_NAME,SIZE,START POSITION,STOP POSITION,FILE NAME,FILE SEGMENT (with RECORD-ID),File Segment Number,File Segment Name
CIP106,CHECK-EFF-DATE,9(8),479,486,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP108,CLAIM-PYMT-REM-CODE-1,X(5),487,491,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP109,CLAIM-PYMT-REM-CODE-2,X(5),492,496,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP110,CLAIM-PYMT-REM-CODE-3,X(5),497,501,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP111,CLAIM-PYMT-REM-CODE-4,X(5),502,506,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP112,TOT-BILLED-AMT,S9(11)V99,507,519,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP113,TOT-ALLOWED-AMT,S9(11)V99,520,532,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP114,TOT-MEDICAID-PAID-AMT,S9(11)V99,533,545,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP116,TOT-MEDICARE-DEDUCTIBLE-AMT,S9(11)V99,546,558,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP117,TOT-MEDICARE-COINS-AMT,S9(11)V99,559,571,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP118,TOT-TPL-AMT,S9(11)V99,572,584,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP119,TOT-OTHER-INSURANCE-AMT,S9(11)V99,585,597,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP121,OTHER-INSURANCE-IND,X(1),598,598,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP122,OTHER-TPL-COLLECTION,X(3),599,601,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
CIP123,SERVICE-TRACKING-TYPE,X(2),602,603,CLAIMIP,CLAIM-HEADER-RECORD-IP-CIP00002,CIP00002,CLAIM-HEADER-RECORD-IP
