Table Name,Column,Description,Data Type,Max Length,Ordinal Position
T1147xPage3,SP_IsRestorativeTherapy_Speech,Skilled Procedures – checkbox for the assessor to indicate there is a Speech plan. ,bit,,51
T1147xPage3,SP_IsAbleToMeet5Day45MinTherapy,Skilled Procedures – radio button for the assessor to indicate the member is able to participate in therapy a minimum of 45 minutes per session 5 days a week. ,bit,,52
T1147xPage3,SP_Comments,Not used,varchar,2048,53
T1147xPage3,Social_CanReturnHome,Skilled Procedures – radio button for the assessor to indicate if the member can return home. ,varchar,1,54
T1147xPage3,Social_CommunitySettingAlternative,Skilled Procedures – radio button for the assessor to indicate if a community setting can be considered as an alternative to a facility. ,varchar,1,55
T1147xPage3,Social_IsSupportSystemToProvideCare,Skilled Procedures – radio button for the assessor to indicate if the caregiving support system is willing to provide/continue care if the member has a home. ,bit,,56
T1147xPage3,Social_IsCaregiverReqAssistance,Skilled Procedures – radio button for the assessor to indicate if the caregiver requires assistance. ,bit,,57
T1147xPage3,Social_CaregiverAssistance_Desc,Additional comments regarding assistance required by the caregiver. ,varchar,255,58
T1147xPage3,Social_Caregiver_Name,Name of caregiver. ,varchar,128,59
T1147xPage3,Social_Caregiver_Relationship,Relationship of the caregiver to the member. ,varchar,255,60
T1147xPage3,Social_Caregiver_LastAddress,Caregiver’s address. ,varchar,255,61
T1147xPage3,Social_Caregiver_Phone,Caregiver’s phone number (as entered). .,varchar,24,62
T1147xPage3,Social_Caregiver_FAX,Caregiver’s fax number (as entered). ,varchar,24,63
T1147xPage3,Social_Caregiver_EMAIL,Caregiver’s email address (as entered). ,varchar,255,64
T1147xPage3,CommentsOnNursingReqOrSocialSituation,Additional comments on nursing requirements or social situation.  Blank for 1147e forms – some older forms prior to 2009 may have data. ,varchar,2048,65
T1147xPage3,PhysicianPCP_PhysicianName,The full name of the attending physician or primary care physician. ,varchar,128,66
T1147xPage3,PhysicianPCP_PhysicianID,Not used.,int,,67
T1147xPage3,PhysicianPCP_DateSigned,Date/time the attending physician or primary care physician signed form. ,datetime,,68
T1147xPage3,PhysicianPCP_IsSigned,Indicates whether the attending physician or primary care physician has a signature on file.,bit,,69
T1147xPage3,PhysicianPCP_PhysicianFirstName,First name of the attending physician or primary care physician. ,varchar,60,70
T1147xPage3,PhysicianPCP_PhysicianLastName,Last name of the attending physician or primary care physician. ,varchar,60,71
T1147xPage3,PhysicianPCP_PhysicianTitle,Title of the attending physician or primary care physician. ,varchar,255,72
T1147xPageExtra,T1147xID,Primary Key – GUID of form,uniqueidentifier,,1
T1147xPageExtra,ReasonLOCReEval_IsChangeInLOC,Indicates reason for level of care re-evaluation is a change in the level of care needed. ,bit,,2
T1147xPageExtra,ReasonLOCReEval_IsExtensionOfCurrentLOC,Indicates reason for level of care re-evaluation is an extension of current level of care. ,bit,,3
T1147xPageExtra,ReasonLOCReEval_AtHomeAndWaitlistedForLTC,Indicates reason for level of care re-evaluation is due to member waitlisted for long term care services. ,bit,,4
