TABLE_NAME,COLUMN_NAME,NEW_DATA_TYPE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,BUSINESS NAME,DESCRIPTION
ME,ME082,varchar(100),varchar,100,Employer Name,Member's Employer Name. Report the name of the Subscriber's / Member's employer at time of enrollment.
ME,ME083,int,int,,Employer EIN,Member's Employer EIN / Federal Tax ID Number. Report the EIN / Federal Tax ID of the Member's employer. Do not use hyphen or alpha prefix.
ME,ME101,varchar(60),varchar,60,Subscriber Last Name,"Subscriber's Last Name. Report the Subscriber's last name. Last name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ʻokinas, and kahakōs, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
ME,ME102,varchar(35),varchar,35,Subscriber First Name,"Subscriber's First Name. Report the Subscriber's first name. First name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ʻokinas, and kahakōs, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
ME,ME103,varchar(25),varchar,25,Subscriber Middle Name,"Subscriber's Middle Name or Initial. Report the Subscriber's middle name or initial here. If Subscriber's middle name is available, report middle name. Middle name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ʻokinas, and kahakōs, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
ME,ME104,varchar(60),varchar,60,Member Last Name,"Member's Last Name. Report the Member's last name. Last name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ʻokinas, and kahakōs, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
ME,ME105,varchar(40),varchar,40,Member First Name,"Member's First Name. Report the Member's first name. First name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ʻokinas, and kahakōs, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
ME,ME106,varchar(25),varchar,25,Member Middle Name,"Member's Middle Name or Initial. Report the Member's middle name or initial here. If Member's middle name is available, report middle name. Middle name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ʻokinas, and kahakōs, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
ME,ME107,varchar(50),varchar,50,Carrier Specific Unique Member ID,Member's Unique ID. Report the identifier the Reporter uses internally to uniquely identify the Member.
ME,ME108,varchar(30),varchar,30,Subscriber City Name,Subscriber's City Name. Report the city name of the Subscriber's residence.
ME,ME109,char(20),char,20,Subscriber State,Subscriber's State / Province. Report the State of the Subscriber's residence using the two-character abbreviation as defined by the United States Postal Service. 
