TABLE_NAME,COLUMN_NAME,NEW_DATA_TYPE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,BUSINESS NAME,DESCRIPTION
MC,MC062,varchar(10),varchar,10,Charge Amount,"Total Charges for the Claim Line. Report the total amount the provider billed the insurance carrier for this claim line service. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
MC,MC063,varchar(10),varchar,10,Paid Amount,"Total Paid for the Claim Line. Report the total amount paid for the claim line. Report 0 if line is paid as part of another procedure / claim line. Do not report any value if the line is denied. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
MC,MC064,varchar(10),varchar,10,Fee-for-Service Equivalent,"Member Copay Amount. Report the Copay amount that the Member is responsible to pay. Copay is a preset, fixed amount for this claim line service that the Member is responsible to pay. Report 0 if no Copay applies. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
MC,MC065,varchar(10),varchar,10,Copay Amount,"Member Copay Amount. Report the Copay amount that the Member is responsible to pay. Copay is a preset, fixed amount for this claim line service that the Member is responsible to pay. Report 0 if no Copay applies. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
MC,MC066,varchar(10),varchar,10,Coinsurance Amount,"Member Coinsurance Amount. Report the Coinsurance amount that the Member is responsible to pay. Coinsurance is a calculated percentage amount for this claim line service that the Member is responsible to pay. Report 0 if no Coinsurance applies. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
MC,MC067,varchar(10),varchar,10,Deductible Amount,"Member Deductible Amount. Report the Deductible amount that the Member is responsible to pay. Deductible is a preset, fixed amount for this claim line service that the Member is responsible to pay. Report 0 if no Deductible applies to service. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
MC,MC068,varchar(40),varchar,40,Patient Control Number,Patient Control Number. Report the provider assigned encounter / visit number to identify Member treatment. Also known as the Patient Account Number.
MC,MC069,int,int,,Discharge Date,Discharge Date. Report the date the Member was discharged from the facility in CCYYMMDD format.
MC,MC070,char(3),char,3,Service Provider Country Code,Country Name of the Service Provider. Report the three-character country code as defined by ISO. 
MC,MC071,varchar(7),varchar,7,DRG Code,Diagnostic Related Group Code. Report the DRG number applied to this claim on every line to which it's applicable. Code using the CMS methodology. 
MC,MC072,char(2),char,2,DRG Version,"Diagnostic Related Group Version Number. Report the version of the DRG used.

EXAMPLE: 26 = Version 26 of the MS-DRG is used."
MC,MC073,char(4),char,4,APC,"Ambulatory Payment Classification Number. Report the APC number applied to this claim line, with the leading zero(s) when applicable. Code using the CMS methodology. "
MC,MC074,char(2),char,2,APC Version,Ambulatory Payment Classification Version. Report the version of the APC used.
MC,MC075,char(50),char,50,Drug Code,"National Drug Code (NDC). Report the NDC Code as defined by the FDA in 11-digit format (5-4-2) without hyphenation. Report the NDC code used only when a medication is paid for as part of a medical claim or when a DME device has an NDC code. J codes should be submitted under procedure code (MC055), and have a procedure code type of 'HCPCS'. "
MC,MC076,varchar(30),varchar,30,Billing Provider Number,"Billing Provider's Identification Number. Report the Reporter assigned, unique Billing Provider identification number used internally by the Reporter."
MC,MC077,int,int,,Billing Provider NPI,Billing Provider's National Provider Identifier. Report the National Provider Identifier (NPI) of the Billing Provider. 
MC,MC078,varchar(100),varchar,100,Billing Provider Last Name or Organization Name,"Billing Provider's Last Name or Organization Name. Report the name of the organization or the Billing Provider's last name. MC027 determines if an Organization or Billing Provider's name is reported here. Last name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ?okinas, and kahak?s, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
MC,MC079,varchar(50),varchar,50,Filler,SHPDA reserves this field for future use. Do not populate this field with any data.
MC,MC080,varchar(10),varchar,10,Payment Reason,"Payment Reason Code. Report the code that defines the reason for payment of the claim line. Either report the Claim Adjustment Reason Code or Carrier-defined Payment Reason Code. If Carrier-defined Payment Code is submitted, Carrier must submit all Payment Reason Codes in separate table to SHPDA. "
MC,MC081,int,int,,Capitated Encounter Flag,Capitation Payment Indicator. Report if the encounter was paid under a capitated arrangement.
MC,MC082,varchar(50),varchar,50,Filler,SHPDA reserves this field for future use. Do not populate this field with any data.
MC,MC083,varchar(7),varchar,7,Other ICD Procedure Code - 1,Other ICD Procedure Code - 1. Report the second ICD Procedure Code for inpatient claims. Repeat this code on all lines of the inpatient claim it is applicable to. Do not code decimal point. 
MC,MC084,varchar(7),varchar,7,Other ICD Procedure Code - 2,Other ICD Procedure Code - 2. Report the third ICD Procedure Code for inpatient claims. Repeat this code on all lines of the inpatient claim it is applicable to. Do not code decimal point. 
MC,MC085,varchar(7),varchar,7,Other ICD Procedure Code - 3,Other ICD Procedure Code - 3. Report the fourth ICD Procedure Code for inpatient claims. Repeat this code on all lines of the inpatient claim it is applicable to. Do not code decimal point. 
MC,MC086,varchar(7),varchar,7,Other ICD Procedure Code - 4,Other ICD Procedure Code - 4. Report the fifth ICD Procedure Code for inpatient claims. Repeat this code on all lines of the inpatient claim it is applicable to. Do not code decimal point. 
MC,MC087,varchar(7),varchar,7,Other ICD Procedure Code - 5,Other ICD Procedure Code - 5. Report the sixth ICD Procedure Code for inpatient claims. Repeat this code on all lines of the inpatient claim it is applicable to. Do not code decimal point. 
MC,MC088,varchar(7),varchar,7,Other ICD Procedure Code - 6,Other ICD Procedure Code - 6. Report the seventh ICD Procedure Code for inpatient claims. Repeat this code on all lines of the inpatient claim it is applicable to. Do not code decimal point. 
MC,MC088A,varchar(7),varchar,7,Other ICD Procedure Code - 7,Other ICD Procedure Code - 7. Report the eighth ICD Procedure Code for inpatient claims. Repeat this code on all lines of the inpatient claim it is applicable to. Do not code decimal point. 
MC,MC088B,varchar(7),varchar,7,Other ICD Procedure Code - 8,Other ICD Procedure Code - 8. Report the ninth ICD Procedure Code for inpatient claims. Repeat this code on all lines of the inpatient claim it is applicable to. Do not code decimal point. 
MC,MC088C,varchar(7),varchar,7,Other ICD Procedure Code - 9,Other ICD Procedure Code - 9. Report the tenth ICD Procedure Code for inpatient claims. Repeat this code on all lines of the inpatient claim it is applicable to. Do not code decimal point. 
MC,MC088D,varchar(7),varchar,7,Other ICD Procedure Code - 10,Other ICD Procedure Code - 10. Report the eleventh ICD Procedure Code for inpatient claims. Repeat this code on all lines of the inpatient claim it is applicable to. Do not code decimal point. 
MC,MC088E,varchar(7),varchar,7,Other ICD Procedure Code - 11,Other ICD Procedure Code - 11. Report the twelfth ICD Procedure Code for inpatient claims. Repeat this code on all lines of the inpatient claim it is applicable to. Do not code decimal point. 
MC,MC088F,varchar(7),varchar,7,Other ICD Procedure Code - 12,Other ICD Procedure Code - 12. Report the thirteenth ICD Procedure Code for inpatient claims. Repeat this code on all lines of the inpatient claim it is applicable to. Do not code decimal point. 
MC,MC089,int,int,,Paid Date,Paid Date of the Claim Line. Report the date that appears on the check and/or remit and/or explanation of benefits and corresponds to any and all types of payment in CCYYMMDD format. This can be the same date as AP Date (MC017).
MC,MC090,varchar(7),varchar,7,LOINC Code,Logical Observation Identifiers Names and Codes (LOINC). Report the LOINC code when applicable and available. Do not report any value if not applicable. 
MC,MC091,varchar(15),varchar,15,Coinsurance Days,Covered Coinsurance Days. Report the number of partially covered days the Member incurred during this admission. Report 0 if all days were covered and/or Noncovered days.
MC,MC092,varchar(4),varchar,4,Covered Days or Visits Count,Covered Inpatient Days. Report the number of covered days the Member incurred during this admission. Report 0 if days were Noncovered or partially covered under Coinsurance Days.
MC,MC093,varchar(4),varchar,4,Noncovered Days,Noncovered Inpatient Days. Report the number of Noncovered days the Member incurred during this admission. Report 0 if all days were covered.
MC,MC094,char(3),char,3,Type of Claim,Type of Claim Indicator. Report the type of claim submitted for payment.
MC,MC095,varchar(10),varchar,10,Coordination of Benefits/TPL Liability Amount,"Amount Due from a Secondary Carrier. Report the amount that another carrier is liable for after submitting carrier has processed this claim line. Report 0 if there is no COB / TPL amount. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
MC,MC096,varchar(10),varchar,10,Other Insurance Paid Amount,"Amount Paid by a Primary Carrier. Report the amount that a prior carrier has paid for this claim line. Indicates the submitting carrier is 'secondary' to the prior carrier. Only report 0 if the prior carrier paid 0 towards this claim line. If prior carrier did not pay towards this claim line, do not report any value. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
MC,MC097,varchar(10),varchar,10,Medicare Paid Amount,"Amount Paid by Medicare. Report the amount Medicare paid for this claim line. Only report 0 here if Medicare paid 0. If Medicare did not pay towards this claim line, do not report any value. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
MC,MC098,varchar(10),varchar,10,Allowed Amount,"Allowed Amount. Report the maximum amount contractually allowed, and that a carrier will pay to a provider for a particular procedure or service. This will vary by provider contract and most often it is less than or equal to the fee charged by the provider. Report 0 when the claim line is denied. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
MC,MC099,varchar(10),varchar,10,Non-Covered Amount,"Non-Covered Amount. Report the amount that was charged on a claim that is not reimbursable due to eligibility limitations or provider requirements. Report 0 if all charges are covered. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
MC,MC100,varchar(50),varchar,50,Filler,SHPDA reserves this field for future use. Do not populate this field with any data.
MC,MC101,varchar(60),varchar,60,Subscriber Last Name,"Subscriber’s Last Name. Report the Subscriber’s last name. Last name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ‘okinas, and kahak?s, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
MC,MC102,varchar(30),varchar,30,Subscriber First Name,"Subscriber’s First Name. Report the Subscriber’s first name. First name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ‘okinas, and kahak?s, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
MC,MC103,varchar(25),varchar,25,Subscriber Middle Name,"Subscriber’s Middle Name or Initial. Report the Subscriber’s middle name or initial. If Subscriber’s middle name is available, report middle name. Middle name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ‘okinas, and kahak?s, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
MC,MC104,varchar(60),varchar,60,Member Last Name,"Member’s Last Name. Report the Member’s last name. Last name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ‘okinas, and kahak?s, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
MC,MC105,varchar(25),varchar,25,Member First Name,"Member’s First Name. Report the Member’s first name. First name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ‘okinas, and kahak?s, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
MC,MC106,varchar(25),varchar,25,Member Middle Name,"Member’s Middle Name or Initial. Report the Member’s middle name or initial. If Member’s middle name is available, report middle name. Middle name should exclude all punctuation, including but not limited to, hyphens, apostrophes, ‘okinas, and kahak?s, and be reported in upper case. Name should be contracted where punctuation is removed, do not report spaces."
MC,MC107,int,int,,ICD Indicator,"International Classification of Diseases (ICD) Version Indicator. Report the value that defines whether the diagnoses on claim are ICD-9 or ICD-10.


EXAMPLE: 9 = ICD-9.

9 - ICD-9
0 - ICD-10"
MC,MC108,char(5),char,5,Procedure Modifier - 3,HCPCS / CPT Code Modifier - 3. Report a valid procedure modifier indicating that a service or procedure (MC055) has been altered by some specific circumstance but has not been changed in its definition or code. 
MC,MC109,char(2),char,2,Procedure Modifier - 4,HCPCS / CPT Code Modifier - 4. Report a valid procedure modifier indicating that a service or procedure (MC055) has been altered by some specific circumstance but has not been changed in its definition or code. 
MC,MC110,int,int,,Claim Processed Date,"Claim Processed Date. Report the date the claim was processed by the Reporter in CCYYMMDD format. This date can be equal to Paid Date (MC089), but cannot be after Paid Date."
MC,MC111,varchar(20),varchar,20,Diagnostic Code Pointer,"Diagnostic Pointer Number. Report the placement number of the diagnosis(es) a procedure is related to for a professional claim. Can report up to four diagnostic positions within the first nine diagnoses that can be reported. Do not separate multiple mappings with spaces, zeros, or special characters. Do not zero fill.

EXAMPLE: Procedure related to diagnoses 1, 4, and 5 = 145."
MC,MC112,int,int,,Referring Provider NPI,Referring Provider National Provider Identifier. Report the National Provider Identifier (NPI) of the Referring Provider that submitted the referral for the service or ordered the test that is on the claim (if applicable). 
MC,MC113,int,int,,Payment Arrangement Type,Payment Arrangement Type. Report the value that defines the contracted payment methodology for this claim line.
MC,MC114,varchar(10),varchar,10,Excluded Expenses,"Excluded Expenses. Report the amount that the patient has incurred towards covered but over-utilized services. Report 0 if there are no Excluded Expenses. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
MC,MC115,int,int,,Medicare Flag,Medicare Payment Indicator. Report the value that defines if Medicare paid for part or all of the services.
MC,MC116,varchar(10),varchar,10,Withhold Amount,"Amount to be Paid for Performance Guarantees. Report the amount paid to the provider for this claim line if the provider qualified / met performance guarantees. Report 0 if the provider has the agreement but did not satisfy the measure, else do not report any value. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
MC,MC117,int,int,,Pre-Authorization Flag,Pre-Authorization Indicator. Report the value that defines if the service required pre-authorization.
MC,MC118,int,int,,Referral Flag,Referral Indicator. Report the value that defines if the service was preceded by a referral.
MC,MC119,int,int,,PCP Flag,PCP Indicator. Report the value that defines if the service was performed by the Member's PCP.
MC,MC120,int,int,,DRG Level,Diagnostic Related Group Code Severity Level. Report the level used for severity adjustment when applicable.
MC,MC121,varchar(10),varchar,10,Member Total Out of Pocket Amount,"Total Member Out of Pocket Amount. Report the total amount the Member is responsible to pay to the provider as part of their costs for services. This is the sum of copay, coinsurance, deductible, and other charges the Member is responsible for. Report 0 if there are no out of pocket expenses. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
MC,MC122,int,int,,Global Payment Flag,Global Payment Indicator. Report if the claim line was paid under a global payment arrangement.
MC,MC123,int,int,,Denied Flag,Denied Claim Line Indicator. Report if the claim line was denied.
MC,MC124,varchar(30),varchar,30,Denial Reason,"Denial Reason Code. Report the code that defines the reason for denial of the claim line. Either report the Claim Adjustment Reason Code or Carrier-defined Denial Reason Code. If Carrier-defined Reason Code is submitted, Carrier must submit all Denial Reason Codes in separate table to SHPDA. "
MC,MC125,int,int,,Attending Provider NPI,Attending Provider's National Provider Identifier. Report the National Provider Identifier (NPI) of the Attending Provider that provided general oversight of the Member's care. This individual may or may not be the Servicing or Rendering provider. 
MC,MC126,int,int,,Accident Flag,Accident Indicator. Report the value that defines if the claim line is accident-related.
MC,MC127,int,int,,Family Planning Flag,Family Planning Indicator. Report the value that defines if family planning services were provided.
MC,MC128,int,int,,Employment Related Flag,Employment Related Indicator. Report the value that defines if the claim line was related to an employment accident.
MC,MC129,int,int,,EPSDT Flag,"Early Periodic Screening, Diagnosis and Treatment (EPSDT) Indicator. Report if the claim line was related to EPSDT and the type of EPSDT service, such as 'screening', 'treatment' or ‘referral’."
MC,MC130,int,int,,Procedure Code Type,Claim Line Procedure Code Type Identifier. Report the type of Procedure Code expected in MC055.
MC,MC131,int,int,,Network Flag,Network Indicator. Report the value that defines if the claim line was paid at an in-network rate.
MC,MC132,varchar(50),varchar,50,Filler,SHPDA reserves this filed for future use. Do not populate this field with any data.
MC,MC133,int,int,,Type of Bill Frequency Code,"Type of Bill Frequency Code. Report the valid frequency code of the claim to indicate version, credit/debit activity, and/or settling of claim. "
MC,MC134,int,int,,Organizational Provider NPI,Organizational Provider's National Provider Identifier. Report the National Provider Identifier (NPI) of the organization with which the service/rendering/attending provider directly providing the service is associated. 
MC,MC135,varchar(80),varchar,80,Provider Location Address,"Address of the Rendering Provider. Report the address which identifies the location / site of the service provided by the Rendering Provider identified in MC242.

EXAMPLE: Dr. Smith Pediatrics, 123 Main Street"
MC,MC135A,varchar(60),varchar,60,Provider Location Address 2,"Address of the Rendering Provider 2. Report the street address that may contain office number, suite, or other secondary information besides the street which identifies the location / site of the service provided by the Rendering Provider identified in MC242."
MC,MC135B,varchar(30),varchar,30,Provider Location City,Rendering Provider's City Name. Report the city name of the Rendering Provider's location / site of the service.
MC,MC135C,char(2),char,2,Provider Location State,Rendering Provider's State / Province. Report the State of the Rendering Provider's location / site of the service using the two-character abbreviation as defined by the United States Postal Service. 
MC,MC135D,varchar(9),varchar,9,Provider Location Zip Code,Rendering Provider's Zip Code. Report the 5- or 9-digit Zip Code of the Rendering Provider's location / site of the service as defined by the United States Postal Service. When submitting the 9-digit Zip Code do not include hyphen. 
MC,MC136,varchar(7),varchar,7,Discharge Diagnosis,Discharge ICD Diagnosis Code. Report the Discharge ICD Diagnosis Code as applied to the Member upon discharge. This may or may not be the same as the primary diagnosis or admitting diagnosis. 
MC,MC137,varchar(50),varchar,50,Carrier Specific Unique Member ID,Member's Unique ID. Report the identifier the Reporter uses internally to uniquely identify the Member.
MC,MC138,char(1),char,1,Claim Line Type,Claim Line Type Code. Report the Claim Line Type Code that defines the claim line status in terms of adjudication.
MC,MC139,varchar(35),varchar,35,Former Claim Number,"Previous Claim Number. Report the Claim Control Number (MC004) that was originally sent in a prior filing that this line corresponds to. When reported, this data cannot equal its own MC004."
MC,MC140,varchar(50),varchar,50,Filler,SHPDA reserves this field for future use. Do not populate this field with any data.
MC,MC141,varchar(50),varchar,50,Carrier Specific Unique Subscriber ID,Subscriber's Unique ID. Report the identifier the Reporter uses internally to uniquely identify the Subscriber.
MC,MC142,varchar(7),varchar,7,Other Diagnosis Code - 13,Other ICD Diagnosis Code - 13. Report the thirteenth secondary ICD Diagnosis Code. If not applicable do not report any value here. 
MC,MC143,varchar(7),varchar,7,Other Diagnosis Code - 14,Other ICD Diagnosis Code - 14. Report the fourteenth secondary ICD Diagnosis Code. If not applicable do not report any value here. 
MC,MC144,varchar(7),varchar,7,Other Diagnosis Code - 15,Other ICD Diagnosis Code - 15. Report the fifteenth secondary ICD Diagnosis Code. If not applicable do not report any value here. 
MC,MC145,varchar(7),varchar,7,Other Diagnosis Code - 16,Other ICD Diagnosis Code - 16. Report the sixteenth secondary ICD Diagnosis Code. If not applicable do not report any value here. 
MC,MC146,varchar(7),varchar,7,Other Diagnosis Code - 17,Other ICD Diagnosis Code - 17. Report the seventeenth secondary ICD Diagnosis Code. If not applicable do not report any value here. 
MC,MC147,varchar(7),varchar,7,Other Diagnosis Code - 18,Other ICD Diagnosis Code - 18. Report the eighteenth secondary ICD Diagnosis Code. If not applicable do not report any value here. 
MC,MC148,varchar(7),varchar,7,Other Diagnosis Code - 19,Other ICD Diagnosis Code - 19. Report the nineteenth secondary ICD Diagnosis Code. If not applicable do not report any value here. 
MC,MC149,varchar(7),varchar,7,Other Diagnosis Code - 20,Other ICD Diagnosis Code - 20. Report the twentieth secondary ICD Diagnosis Code. If not applicable do not report any value here. 
MC,MC150,varchar(7),varchar,7,Other Diagnosis Code - 21,Other ICD Diagnosis Code - 21. Report the twenty-first secondary ICD Diagnosis Code. If not applicable do not report any value here. 
MC,MC151,varchar(7),varchar,7,Other Diagnosis Code - 22,Other ICD Diagnosis Code - 22. Report the twenty-second secondary ICD Diagnosis Code. If not applicable do not report any value here. 
MC,MC152,varchar(7),varchar,7,Other Diagnosis Code - 23,Other ICD Diagnosis Code - 23. Report the twenty-third secondary ICD Diagnosis Code. If not applicable do not report any value here. 
MC,MC153,varchar(7),varchar,7,Other Diagnosis Code - 24,Other ICD Diagnosis Code - 24. Report the twenty-fourth secondary ICD Diagnosis Code. If not applicable do not report any value here. 
MC,MC154,char(1),char,1,Present on Admission (POA) Indicator - 1,Present on Admission (POA) Indicator for Principal Diagnosis. Report the code indicating if the principal diagnosis was present at the time of admission into the inpatient setting. 
MC,MC155,char(1),char,1,Present on Admission (POA) Indicator - 2,Present on Admission (POA) Indicator for Other Diagnosis - 1. Report the code indicating if the first secondary diagnosis was present at the time of admission into the inpatient setting. 
MC,MC156,char(1),char,1,Present on Admission (POA) Indicator - 3,Present on Admission (POA) Indicator for Other Diagnosis - 2. Report the code indicating if the second secondary diagnosis was present at the time of admission into the inpatient setting.
MC,MC157,char(1),char,1,Present on Admission (POA) Indicator - 4,Present on Admission (POA) Indicator for Other Diagnosis - 3. Report the code indicating if the third secondary diagnosis was present at the time of admission into the inpatient setting.
MC,MC158,char(1),char,1,Present on Admission (POA) Indicator - 5,Present on Admission (POA) Indicator for Other Diagnosis - 4. Report the code indicating if the fourth secondary diagnosis was present at the time of admission into the inpatient setting.
MC,MC159,char(1),char,1,Present on Admission (POA) Indicator - 6,Present on Admission (POA) Indicator for Other Diagnosis - 5. Report the code indicating if the fifth secondary diagnosis was present at the time of admission into the inpatient setting.
MC,MC160,char(1),char,1,Present on Admission (POA) Indicator - 7,Present on Admission (POA) Indicator for Other Diagnosis - 6. Report the code indicating if the sixth secondary diagnosis was present at the time of admission into the inpatient setting. 
MC,MC161,char(1),char,1,Present on Admission (POA) Indicator - 8,Present on Admission (POA) Indicator for Other Diagnosis - 7. Report the code indicating if the seventh secondary diagnosis was present at the time of admission into the inpatient setting.
MC,MC162,char(1),char,1,Present on Admission (POA) Indicator - 9,Present on Admission (POA) Indicator for Other Diagnosis - 8. Report the code indicating if the eighth secondary diagnosis was present at the time of admission into the inpatient setting.
MC,MC163,char(1),char,1,Present on Admission (POA) Indicator - 10,Present on Admission (POA) Indicator for Other Diagnosis - 9. Report the code indicating if the ninth secondary diagnosis was present at the time of admission into the inpatient setting. 
MC,MC164,char(1),char,1,Present on Admission (POA) Indicator - 11,Present on Admission (POA) Indicator for Other Diagnosis - 10. Report the code indicating if the tenth secondary diagnosis was present at the time of admission into the inpatient setting. 
MC,MC165,char(1),char,1,Present on Admission (POA) Indicator - 12,Present on Admission (POA) Indicator for Other Diagnosis - 11. Report the code indicating if the eleventh secondary diagnosis was present at the time of admission into the inpatient setting.
MC,MC166,char(1),char,1,Present on Admission (POA) Indicator - 13,Present on Admission (POA) Indicator for Other Diagnosis - 12. Report the code indicating if the twelfth secondary diagnosis was present at the time of admission into the inpatient setting. 
MC,MC167,char(1),char,1,Present on Admission (POA) Indicator - 14,Present on Admission (POA) Indicator for Other Diagnosis - 13. Report the code indicating if the thirteenth secondary diagnosis was present at the time of admission into the inpatient setting.
MC,MC168,char(1),char,1,Present on Admission (POA) Indicator - 15,Present on Admission (POA) Indicator for Other Diagnosis - 14. Report the code indicating if the fourteenth secondary diagnosis was present at the time of admission into the inpatient setting. 
MC,MC169,char(1),char,1,Present on Admission (POA) Indicator - 16,Present on Admission (POA) Indicator for Other Diagnosis - 15. Report the code indicating if the fifteenth secondary diagnosis was present at the time of admission into the inpatient setting. 
MC,MC170,char(1),char,1,Present on Admission (POA) Indicator - 17,Present on Admission (POA) Indicator for Other Diagnosis - 16. Report the code indicating if the sixteenth secondary diagnosis was present at the time of admission into the inpatient setting. 
MC,MC171,char(1),char,1,Present on Admission (POA) Indicator - 18,Present on Admission (POA) Indicator for Other Diagnosis - 17. Report the code indicating if the seventeenth secondary diagnosis was present at the time of admission into the inpatient setting.
MC,MC172,char(1),char,1,Present on Admission (POA) Indicator - 19,Present on Admission (POA) Indicator for Other Diagnosis - 18. Report the code indicating if the eighteenth secondary diagnosis was present at the time of admission into the inpatient setting.
MC,MC173,char(1),char,1,Present on Admission (POA) Indicator - 20,Present on Admission (POA) Indicator for Other Diagnosis - 19. Report the code indicating if the nineteenth secondary diagnosis was present at the time of admission into the inpatient setting.
MC,MC174,char(1),char,1,Present on Admission (POA) Indicator - 21,Present on Admission (POA) Indicator for Other Diagnosis - 20. Report the code indicating if the twentieth secondary diagnosis was present at the time of admission into the inpatient setting. 
MC,MC175,char(1),char,1,Present on Admission (POA) Indicator - 22,Present on Admission (POA) Indicator for Other Diagnosis - 21. Report the code indicating if the twenty-first secondary diagnosis was present at the time of admission into the inpatient setting. 
MC,MC176,char(1),char,1,Present on Admission (POA) Indicator - 23,Present on Admission (POA) Indicator for Other Diagnosis - 22. Report the code indicating if the twenty-second secondary diagnosis was present at the time of admission into the inpatient setting. 
MC,MC177,char(1),char,1,Present on Admission (POA) Indicator - 24,Present on Admission (POA) Indicator for Other Diagnosis - 23. Report the code indicating if the twenty-third secondary diagnosis was present at the time of admission into the inpatient setting. 
MC,MC178,char(1),char,1,Present on Admission (POA) Indicator - 25,Present on Admission (POA) Indicator for Other Diagnosis - 24. Report the code indicating if the twenty-fourth secondary diagnosis was present at the time of admission into the inpatient setting. 
MC,MC179,char(5),char,5,Condition Code - 1,Condition Code - 1. Report the Condition Code that indicates a condition relating to a claim. If not applicable do not report any value here. 
MC,MC180,char(5),char,5,Condition Code - 2,Condition Code - 2. Report the Condition Code that indicates a condition relating to a claim. If not applicable do not report any value here. 
MC,MC181,char(5),char,5,Condition Code - 3,Condition Code - 3. Report the Condition Code that indicates a condition relating to a claim. If not applicable do not report any value here. 
MC,MC182,char(5),char,5,Condition Code - 4,Condition Code - 4. Report the Condition Code that indicates a condition relating to a claim. If not applicable do not report any value here. 
MC,MC183,char(2),char,2,Condition Code - 5,Condition Code - 5. Report the Condition Code that indicates a condition relating to a claim. If not applicable do not report any value here. 
MC,MC184,char(2),char,2,Condition Code - 6,Condition Code - 6. Report the Condition Code that indicates a condition relating to a claim. If not applicable do not report any value here. 
MC,MC185,char(2),char,2,Condition Code - 7,Condition Code - 7. Report the Condition Code that indicates a condition relating to a claim. If not applicable do not report any value here. 
MC,MC186,char(2),char,2,Condition Code - 8,Condition Code - 8. Report the Condition Code that indicates a condition relating to a claim. If not applicable do not report any value here. 
MC,MC187,char(2),char,2,Condition Code - 9,Condition Code - 9. Report the Condition Code that indicates a condition relating to a claim. If not applicable do not report any value here. 
MC,MC188,char(2),char,2,Condition Code - 10,Condition Code - 10. Report the Condition Code that indicates a condition relating to a claim. If not applicable do not report any value here. 
MC,MC189,char(2),char,2,Condition Code - 11,Condition Code - 11. Report the Condition Code that indicates a condition relating to a claim. If not applicable do not report any value here. 
MC,MC190,char(2),char,2,Condition Code - 12,Condition Code - 12. Report the Condition Code that indicates a condition relating to a claim. If not applicable do not report any value here. 
MC,MC191,char(2),char,2,Value Code - 1,Value Code - 1. Report the first Value Code that defines a value category of the claim. If not applicable do not report any value here. 
MC,MC192,varchar(10),varchar,10,Value Code Amount - 1,"Value Code Amount - 1. Report the appropriate amount that corresponds to the first Value Code. Only code 0 when 0 is an applicable amount for the Value Code Set. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
MC,MC193,char(2),char,2,Value Code - 2,Value Code - 2. Report the second Value Code that defines a value category of the claim. If not applicable do not report any value here. 
MC,MC194,varchar(10),varchar,10,Value Code Amount - 2,"Value Code Amount - 2. Report the appropriate amount that corresponds to the second Value Code. Only code 0 when 0 is an applicable amount for the Value Code Set. Do not code decimal or round up / down to whole dollars. Code zero cents (00) when applicable.

EXAMPLE: 100.00 is reported as 10000; 100.50 is reported as 10050."
