Source,Source File,Table Name,Column,,Column Comment (Description),Data Type,Data Format,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key Table,Foreign Key Column,History,Is PII,Start Position,End Position,Max length,Symmetry Indicator,Precision,Comment,Valid Values,Column Order,Lineage,GAP,Findings
CMS_MMA,Response File,TRL,File_Create_Month,,The month that the MMA Request file is created.,NUM,,,,,,,,,57,58,2,,,,Live Data Transmission,10,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,TRL,File_Create_Year,,The year that the MMA Request file is created.,NUM,,,,,,,,,59,62,4,,,,Live Data Transmission,11,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,TRL,Filler,,Filler,CHAR,,,,,,,,,63,223,161,,,,Live Data Transmission,12,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,TRL,Filler,,Filler,CHAR,,,,,,,,,224,4000,3377,,,,Live Data Transmission,13,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Record_Identification_Code,,File Summary Record Identication code,CHAR,,,,,,,,,1,3,3,,,,Live Data Transmission,1,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,State_Code,,"US Postal Service State Abbreviation. See Table 15-3, State Codes.",CHAR,,,,,,,,,4,5,2,,,,Live Data Transmission,2,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,File_Process_Timestamp,,The exact time that the MMA Request file is processed.,CHAR,CCYY-MM-DD-hh.mm.ss.nnnnnn.,,,,,,,,6,31,26,,,"
CCYY – Year.
MM – Month.
DD – Day.
hh – Hour.
mm – Minute.
ss – Second.
nnnnnn – Microsecond.",Live Data Transmission,3,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,File_Create_Month,,The month that the MMA Request file is created,NUM,,,,,,,,,32,33,2,,,,Live Data Transmission,4,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,File_Create_Year,,The year that the MMA Request file is created,NUM,,,,,,,,,34,37,4,,,,Live Data Transmission,5,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Total_Number_of_Records,,The total number of DET records in the MMA Request file. This count does not include PRO records.,NUM,,,,,,,,,38,45,8,,,,Live Data Transmission,6,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Total_Number_of_Duplicate_Records,,The total number of duplicate DET records in the MMA Request file. This count does not include PRO records.,NUM,,,,,,,,,46,53,8,,,,Live Data Transmission,7,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Total_Number_of_Non_Duplicate_Records,,The total number of non- duplicate valid DET records in the MMA Request file. This count does not include PRO records.,NUM,,,,,,,,,54,61,8,,,,Live Data Transmission,8,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Total_Number_of_Valid_Records,,The total number of valid DET records in the MMA Request file. This count does not include PRO records.,NUM,,,,,,,,,62,69,8,,,,Live Data Transmission,9,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Total_Number_of_Invalid_Records,,The total number of invalid DET records in the MMA Request file. This count does not include PRO records.,NUM,,,,,,,,,70,77,8,,,,Live Data Transmission,10,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Total_Number_of_Matched_Records,,The total number of DET records that could be matched to a beneficiary on the Active Medicare Beneficiary Database. This count does not include PRO records.,NUM,,,,,,,,,78,85,8,,,,Live Data Transmission,11,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Total_Number_of_Unmatched_Records,,The total number of DET records that could not be matched to a beneficiary on the Active Medicare Beneficiary Database. This count includes invalid records because a match is not attempted on invalid records. This count does not include PRO records.,NUM,,,,,,,,,86,93,8,,,,Live Data Transmission,12,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Filler,,Filler,CHAR,,,,,,,,,94,140,47,,,,Live Data Transmission,13,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Total_Number_of_Valid_Dual_Records,,The total number of valid DET records in the file. This count does not include PRO records.,NUM,,,,,,,,,141,148,8,,,,Live Data Transmission,14,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
CMS_MMA,Response File,FSM,Total_Number_of_Valid_Dual_Matches,,The total number of DET records that are matched to a beneficiary on the Medicare Active Beneficiary Database. This count does not include PRO records.,NUM,,,,,,,,,149,156,8,,,,Live Data Transmission,15,,N,"HAP-UH-WIP_Unified ICD_v20230508 document
MMA Req and Resp files detail record layout document"
